,postal_code,State,City,CountyName,2021
383,89148,NV,Las Vegas,Clark County,405132.0
384,93307,CA,Bakersfield,Kern County,241116.0
385,77057,TX,Houston,Harris County,260864.0
386,19446,PA,Lansdale,Montgomery County,396624.0
387,93535,CA,Lancaster,Los Angeles County,363216.0
388,78254,TX,San Antonio,Bexar County,279634.0
389,94122,CA,San Francisco,San Francisco County,1626216.0
390,33467,FL,Greenacres,Palm Beach County,395031.0
391,11101,NY,New York,Queens County,807913.0
392,77521,TX,Baytown,Harris County,218731.0
393,93274,CA,Tulare,Tulare County,284030.0
394,27707,NC,Durham,Durham County,343732.0
395,46143,IN,Greenwood,Johnson County,269756.0
396,34293,FL,Venice,Sarasota County,332740.0
397,29445,SC,Goose Creek,Berkeley County,247435.0
398,98133,WA,Shoreline,King County,726663.0
399,33321,FL,Tamarac,Broward County,247902.0
400,75070,TX,McKinney,Collin County,424120.0
401,60660,IL,Chicago,Cook County,277630.0
402,28205,NC,Charlotte,Mecklenburg County,380926.0
403,75002,TX,Allen,Collin County,393835.0
404,60453,IL,Oak Lawn,Cook County,252888.0
405,2301,MA,Brockton,Plymouth County,408564.0
406,75043,TX,Garland,Dallas County,251487.0
407,93257,CA,Porterville,Tulare County,259416.0
408,19020,PA,Bensalem Township,Bucks County,333839.0
409,37167,TN,Smyrna,Rutherford County,317728.0
410,28601,NC,Hickory,Catawba County,223113.0
411,99208,WA,Spokane,Spokane County,413044.0
412,31088,GA,Warner Robins,Houston County,164724.0
413,11204,NY,New York,Kings County,954907.0
414,93230,CA,Hanford,Kings County,303853.0
415,32246,FL,Jacksonville,Duval County,268960.0
416,11213,NY,New York,Kings County,1008291.0
417,19720,DE,New Castle,New Castle County,226682.0
418,48823,MI,East Lansing,Ingham County,253723.0
419,70726,LA,Denham Springs,Livingston Parish,201158.0
420,21222,MD,Dundalk,Baltimore County,171350.0
421,29579,SC,Forestbrook,Horry County,266880.0
422,31419,GA,Savannah,Chatham County,217305.0
423,19120,PA,Philadelphia,Philadelphia County,153645.0
424,11219,NY,New York,Kings County,846358.0
425,38655,MS,Oxford,Lafayette County,219980.0
426,22204,VA,Arlington,Arlington County,611610.0
427,27519,NC,Cary,Wake County,538271.0
428,37040,TN,Clarksville,Montgomery County,233201.0
429,27705,NC,Durham,Durham County,380714.0
430,77346,TX,Atascocita,Harris County,262657.0
431,93309,CA,Bakersfield,Kern County,282020.0
432,85282,AZ,Tempe,Maricopa County,394453.0
433,20874,MD,Germantown,Montgomery County,355795.0
434,29223,SC,Columbia,Richland County,171909.0
435,30909,GA,Augusta,Richmond County,207873.0
436,29485,SC,Summerville,Dorchester County,287578.0
437,28216,NC,Charlotte,Mecklenburg County,262817.0
438,10032,NY,New York,New York County,595188.0
439,94541,CA,Hayward,Alameda County,811599.0
440,94538,CA,Fremont,Alameda County,1218731.0
441,95076,CA,Watsonville,Santa Cruz County,757900.0
442,36117,AL,Montgomery,Montgomery County,204344.0
443,78748,TX,Austin,Travis County,468601.0
444,76179,TX,Fort Worth,Tarrant County,282822.0
445,90802,CA,Long Beach,Los Angeles County,478300.0
446,33157,FL,Village of Palmetto Bay,Miami-Dade County,429383.0
447,85383,AZ,Peoria,Maricopa County,567755.0
448,78251,TX,San Antonio,Bexar County,241828.0
449,60085,IL,Waukegan,Lake County,163936.0
450,78758,TX,Austin,Travis County,470018.0
451,94513,CA,Brentwood,Contra Costa County,843958.0
452,28215,NC,Charlotte,Mecklenburg County,274194.0
453,32765,FL,Oviedo,Seminole County,387763.0
454,83646,ID,Meridian,Ada County,526136.0
455,17331,PA,Penn Township,York County,220444.0
456,60056,IL,Mount Prospect,Cook County,347801.0
457,32608,FL,Gainesville,Alachua County,266245.0
458,90631,CA,La Habra,Orange County,775362.0
459,31907,GA,Columbus,Muscogee County,123045.0
460,30263,GA,Newnan,Coweta County,248740.0
461,92104,CA,San Diego,San Diego County,800770.0
462,77375,TX,Tomball,Harris County,272700.0
463,20852,MD,North Bethesda,Montgomery County,551241.0
464,37421,TN,Chattanooga,Hamilton County,267437.0
465,60637,IL,Chicago,Cook County,200712.0
466,63021,MO,Ballwin,Saint Louis County,307962.0
467,92647,CA,Huntington Beach,Orange County,949692.0
468,37129,TN,Murfreesboro,Rutherford County,339067.0
469,87124,NM,Rio Rancho,Sandoval County,257982.0
470,30906,GA,Augusta,Richmond County,118914.0
471,32792,FL,Winter Park,Orange County,323108.0
472,20020,DC,Washington,District of Columbia,443930.0
473,33511,FL,Brandon,Hillsborough County,301144.0
474,15301,PA,Washington,Washington County,195345.0
475,85204,AZ,Mesa,Maricopa County,320753.0
476,92154,CA,San Diego,San Diego County,643120.0
477,59901,MT,Kalispell,Flathead County,471208.0
