,postal_code,State,City,CountyName,2016,2017,2018,2019,2020,2021
192,27410,NC,Greensboro,Guilford County,201834,211870,222996,233324,250349,290500
193,75035,TX,Frisco,Collin County,384066,403451,410245,407500,416447,516319
194,98103,WA,Seattle,King County,658347,751158,830034,791132,839548,925153
195,77450,TX,Cinco Ranch,Fort Bend County,256008,257303,260575,262460,270128,312260
196,95747,CA,Roseville,Placer County,434011,460524,484645,501737,526769,620771
197,89121,NV,Las Vegas,Clark County,162675,180726,217484,235455,245256,292524
198,27406,NC,Greensboro,Guilford County,106688,114026,121107,130511,144377,169578
199,92804,CA,Anaheim,Orange County,525841,557638,591479,602620,643260,757140
200,8753,NJ,Toms River,Ocean County,252424,259156,266388,270510,283221,368743
201,75228,TX,Dallas,Dallas County,144555,163099,187457,207716,216274,250990
202,92126,CA,San Diego,San Diego County,511188,551977,595097,611260,662249,824468
203,10028,NY,New York,New York County,1571799,1538931,1641667,1570299,1470373,1419942
204,60634,IL,Chicago,Cook County,276651,292432,300508,302123,305311,338543
205,20011,DC,Washington,District of Columbia,566887,600710,638906,677454,705847,772616
206,43130,OH,Lancaster,Fairfield County,131392,139120,148020,158255,170103,196791
207,76244,TX,Fort Worth,Tarrant County,234080,253285,266731,272145,282079,336273
208,92503,CA,Riverside,Riverside County,345487,367819,396995,411197,434564,532934
209,91911,CA,Chula Vista,San Diego County,407902,436247,466419,479138,525469,653270
210,29732,SC,Rock Hill,York County,153166,164511,174591,183571,217081,271921
211,32218,FL,Jacksonville,Duval County,157308,170400,186223,196536,209328,250645
212,22191,VA,Woodbridge,Prince William County,297465,308843,321434,331804,351048,398634
213,28314,NC,Fayetteville,Cumberland County,111819,114672,116481,122137,130795,154218
214,32256,FL,Jacksonville,Duval County,190140,202674,215243,222043,232852,272530
215,11233,NY,New York,Kings County,692787,750212,775547,793497,810303,884706
216,23320,VA,Chesapeake,Chesapeake City,238580,245940,249955,258210,268809,302055
217,40475,KY,Richmond,Madison County,160926,168567,176354,186486,198142,223301
218,21740,MD,Hagerstown,Washington County,157025,164725,171828,176982,187330,218914
219,92101,CA,San Diego,San Diego County,577098,609325,630103,617597,629431,702690
220,90019,CA,Los Angeles,Los Angeles County,926189,988052,1106526,1121246,1189668,1318275
221,34711,FL,Clermont,Lake County,232002,246513,262953,275547,290804,341642
222,30052,GA,Loganville,Gwinnett County,191075,203073,220949,235132,249699,307287
223,38401,TN,Columbia,Maury County,159093,180882,201843,213439,233384,282009
224,77095,TX,Houston,Harris County,212395,215944,221679,227894,239255,277873
225,7002,NJ,Bayonne,Hudson County,311582,339383,373297,389381,403921,450375
226,30041,GA,Cumming,Forsyth County,342853,356895,373821,380795,395665,482003
227,60016,IL,Des Plaines,Cook County,241154,255608,264131,265881,269516,293841
228,33009,FL,Hallandale,Broward County,202827,208144,212919,215478,219117,244429
229,94536,CA,Fremont,Alameda County,873772,934696,1088866,1071665,1085350,1314853
230,89052,NV,Henderson,Clark County,350036,370091,409821,422780,437991,525433
231,74012,OK,Broken Arrow,Tulsa County,157717,162532,166672,169297,179060,203015
232,10457,NY,New York,Bronx County,349358,373618,399644,456336,489346,516346
233,80634,CO,Greeley,Weld County,274167,303337,331470,348782,361605,415224
234,43026,OH,Hilliard,Franklin County,199187,215937,230504,245247,262373,302133
235,92592,CA,Temecula,Riverside County,431973,453236,483652,494870,520738,646644
236,43230,OH,Gahanna,Franklin County,182103,198848,211685,225938,241432,277045
237,89117,NV,Las Vegas,Clark County,261553,281610,321509,332548,343805,410781
238,30080,GA,Smyrna,Cobb County,252784,273152,295523,309341,322686,377099
239,20001,DC,Washington,District of Columbia,646239,673393,696074,714038,725726,745388
