postal_code,City,State,CountyName,2021,total_restaurants,total_reviews,avg_rating,total_delivery,total_pickup,total_rest_reservation,total_price_1,total_price_2,total_price_3,total_price_4,total_0.0_stars,total_1.0_stars,total_1.5_stars,total_2.0_stars,total_2.5_stars,total_3.0_stars,total_3.5_stars,total_4.0_stars,total_4.5_stars,total_5.0_stars,num_rest_types
16647.0,Penn Township,PA,Huntingdon County,216512.0,3,7.0,3.66666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4
16648.0,Frankstown Township,PA,Blair County,192163.0,2,4.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
16652.0,Huntingdon,PA,Huntingdon County,153094.0,36,503.0,3.75,1.0,2.0,0.0,17.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,7.0,7.0,9.0,3.0,31
16657.0,Hopewell Township,PA,Huntingdon County,193364.0,1,3.0,4.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
16665.0,Newry,PA,Blair County,153572.0,1,7.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3
16669.0,Jackson Township,PA,Huntingdon County,180986.0,1,30.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
16678.0,Liberty Township,PA,Bedford County,109378.0,1,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
16693.0,Woodbury Township,PA,Blair County,134736.0,1,3.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
16701.0,Bradford Township,PA,McKean County,77474.0,8,36.0,3.125,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,14
16720.0,Austin,PA,Potter County,105053.0,1,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
16743.0,Port Allegany,PA,McKean County,82915.0,8,23.0,4.375,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,9
16749.0,Keating Township,PA,McKean County,88202.0,7,47.0,4.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,11
16801.0,State College,PA,Centre County,330067.0,13,560.0,3.15384615384615,8.0,4.0,0.0,7.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,5.0,0.0,0.0,17
16803.0,Park Forest Village,PA,Centre County,336829.0,19,1821.0,3.52631578947368,13.0,8.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,2.0,1.0,2.0,26
16823.0,Spring Township,PA,Centre County,241369.0,2,9.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4
16830.0,Clearfield,PA,Clearfield County,109022.0,18,318.0,3.72222222222222,1.0,1.0,0.0,9.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,4.0,5.0,2.0,13
16833.0,Curwensville,PA,Clearfield County,104351.0,8,30.0,4.5625,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,7
16841.0,Howard Township,PA,Centre County,220990.0,2,72.0,4.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3
16843.0,Hyde,PA,Clearfield County,82830.0,1,10.0,3.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
16851.0,College Township,PA,Centre County,291029.0,1,26.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
16854.0,Millheim,PA,Centre County,188431.0,4,151.0,4.125,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,9
16868.0,Pine Grove Mills,PA,Centre County,253387.0,1,16.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
16875.0,Gregg Township,PA,Centre County,267313.0,1,7.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3
16915.0,Coudersport,PA,Potter County,135954.0,15,215.0,3.5,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,3.0,4.0,3.0,1.0,15
16923.0,Genesee Township,PA,Potter County,85107.0,1,3.0,3.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
16927.0,Harrison Township,PA,Potter County,73338.0,1,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
16929.0,Lawrence Township,PA,Tioga County,176840.0,3,23.0,3.83333333333333,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6
16933.0,Richmond Township,PA,Tioga County,202383.0,15,414.0,3.43333333333333,0.0,1.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,4.0,3.0,0.0,18
16939.0,Hamilton Township,PA,Tioga County,80422.0,1,3.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3
16946.0,Tioga Township,PA,Tioga County,166243.0,2,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2
16947.0,Troy Township,PA,Bradford County,170791.0,6,27.0,4.16666666666667,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,9
16948.0,Ulysses Township,PA,Potter County,118866.0,3,11.0,4.83333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3
17002.0,Menno Township,PA,Mifflin County,160965.0,1,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
17003.0,Annville,PA,Lebanon County,265641.0,12,430.0,3.875,7.0,0.0,0.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,4.0,1.0,16
17005.0,Mifflin Township,PA,Dauphin County,110532.0,1,5.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
17007.0,Boiling Springs,PA,Cumberland County,304085.0,7,274.0,4.14285714285714,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,10
17010.0,Campbelltown,PA,Lebanon County,199230.0,4,107.0,4.125,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,8
17011.0,Lower Allen Township,PA,Cumberland County,246205.0,23,1725.0,4.0,19.0,15.0,0.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0,6.0,1.0,28
17013.0,Carlisle,PA,Cumberland County,213448.0,91,4351.0,3.63736263736264,72.0,25.0,0.0,33.0,37.0,0.0,0.0,0.0,1.0,3.0,4.0,7.0,11.0,12.0,31.0,18.0,4.0,53
17015.0,South Middleton Township,PA,Cumberland County,283485.0,9,240.0,3.77777777777778,8.0,7.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,2.0,11
17016.0,South Lebanon Township,PA,Lebanon County,186602.0,1,30.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
17017.0,Lower Mahanoy Township,PA,Northumberland County,163999.0,1,16.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3
