,postal_code,State,City,CountyName,2021
342,32828,FL,Orlando,Orange County,374815
343,32225,FL,Jacksonville,Duval County,313654
344,76116,TX,Fort Worth,Tarrant County,258814
345,90731,CA,Los Angeles,Los Angeles County,751134
346,77840,TX,College Station,Brazos County,222368
347,77007,TX,Houston,Harris County,461418
348,85251,AZ,Scottsdale,Maricopa County,495646
349,23452,VA,Virginia Beach,Virginia Beach City,298630
350,75150,TX,Mesquite,Dallas County,227611
351,30253,GA,McDonough,Henry County,260551
352,37122,TN,Mount Juliet,Wilson County,424898
353,30135,GA,Douglasville,Douglas County,266830
354,73160,OK,Moore,Cleveland County,175402
355,89031,NV,North Las Vegas,Clark County,339846
356,93550,CA,Palmdale,Los Angeles County,378629
357,43068,OH,Reynoldsburg,Franklin County,234046
358,93536,CA,Lancaster,Los Angeles County,476030
359,29681,SC,Simpsonville,Greenville County,307301
360,60615,IL,Chicago,Cook County,281652
361,7087,NJ,Union City,Hudson County,442147
362,40601,KY,Frankfort,Franklin County,178364
363,33319,FL,Lauderhill,Broward County,165783
364,78501,TX,McAllen,Hidalgo County,153771
365,98122,WA,Seattle,King County,894108
366,21215,MD,Baltimore,Baltimore City,167363
367,63123,MO,Affton,Saint Louis County,198744
368,14580,NY,Town of Webster,Monroe County,268415
369,92630,CA,Lake Forest,Orange County,901128
370,66061,KS,Olathe,Johnson County,327356
371,14221,NY,Town Of Amherst,Erie County,314388
372,23451,VA,Virginia Beach,Virginia Beach City,504267
373,94509,CA,Antioch,Contra Costa County,543320
374,11225,NY,New York,Kings County,1318302
375,11208,NY,New York,Kings County,608919
376,95758,CA,Elk Grove,Sacramento County,537949
377,93306,CA,Bakersfield,Kern County,277254
378,60641,IL,Chicago,Cook County,368007
379,45601,OH,Chillicothe,Ross County,148325
380,78249,TX,San Antonio,Bexar County,274508
381,89123,NV,Las Vegas,Clark County,379759
382,21122,MD,Pasadena,Anne Arundel County,384811
383,89148,NV,Las Vegas,Clark County,405132
384,93307,CA,Bakersfield,Kern County,241116
385,77057,TX,Houston,Harris County,260864
386,19446,PA,Lansdale,Montgomery County,396624
387,93535,CA,Lancaster,Los Angeles County,363216
388,78254,TX,San Antonio,Bexar County,279634
389,94122,CA,San Francisco,San Francisco County,1626216
390,33467,FL,Greenacres,Palm Beach County,395031
391,11101,NY,New York,Queens County,807913
392,77521,TX,Baytown,Harris County,218731
393,93274,CA,Tulare,Tulare County,284030
394,27707,NC,Durham,Durham County,343732
395,46143,IN,Greenwood,Johnson County,269756
396,34293,FL,Venice,Sarasota County,332740
397,29445,SC,Goose Creek,Berkeley County,247435
398,98133,WA,Shoreline,King County,726663
399,33321,FL,Tamarac,Broward County,247902
400,75070,TX,McKinney,Collin County,424120
401,60660,IL,Chicago,Cook County,277630
402,28205,NC,Charlotte,Mecklenburg County,380926
403,75002,TX,Allen,Collin County,393835
404,60453,IL,Oak Lawn,Cook County,252888
405,2301,MA,Brockton,Plymouth County,408564
406,75043,TX,Garland,Dallas County,251487
407,93257,CA,Porterville,Tulare County,259416
408,19020,PA,Bensalem Township,Bucks County,333839
409,37167,TN,Smyrna,Rutherford County,317728
410,28601,NC,Hickory,Catawba County,223113
411,99208,WA,Spokane,Spokane County,413044
412,31088,GA,Warner Robins,Houston County,164724
413,11204,NY,New York,Kings County,954907
414,93230,CA,Hanford,Kings County,303853
415,32246,FL,Jacksonville,Duval County,268960
416,11213,NY,New York,Kings County,1008291
417,19720,DE,New Castle,New Castle County,226682
418,48823,MI,East Lansing,Ingham County,253723
419,70726,LA,Denham Springs,Livingston Parish,201158
420,21222,MD,Dundalk,Baltimore County,171350
421,29579,SC,Forestbrook,Horry County,266880
422,31419,GA,Savannah,Chatham County,217305
423,19120,PA,Philadelphia,Philadelphia County,153645
424,11219,NY,New York,Kings County,846358
426,22204,VA,Arlington,Arlington County,611610
427,27519,NC,Cary,Wake County,538271
428,37040,TN,Clarksville,Montgomery County,233201
429,27705,NC,Durham,Durham County,380714
430,77346,TX,Atascocita,Harris County,262657
431,93309,CA,Bakersfield,Kern County,282020
432,85282,AZ,Tempe,Maricopa County,394453
433,20874,MD,Germantown,Montgomery County,355795
434,29223,SC,Columbia,Richland County,171909
435,30909,GA,Augusta,Richmond County,207873
436,29485,SC,Summerville,Dorchester County,287578
437,28216,NC,Charlotte,Mecklenburg County,262817
438,10032,NY,New York,New York County,595188
439,94541,CA,Hayward,Alameda County,811599
440,94538,CA,Fremont,Alameda County,1218731
441,95076,CA,Watsonville,Santa Cruz County,757900
442,36117,AL,Montgomery,Montgomery County,204344
443,78748,TX,Austin,Travis County,468601
444,76179,TX,Fort Worth,Tarrant County,282822
445,90802,CA,Long Beach,Los Angeles County,478300
446,33157,FL,Village of Palmetto Bay,Miami-Dade County,429383
447,85383,AZ,Peoria,Maricopa County,567755
448,78251,TX,San Antonio,Bexar County,241828
449,60085,IL,Waukegan,Lake County,163936
450,78758,TX,Austin,Travis County,470018
451,94513,CA,Brentwood,Contra Costa County,843958
452,28215,NC,Charlotte,Mecklenburg County,274194
453,32765,FL,Oviedo,Seminole County,387763
454,83646,ID,Meridian,Ada County,526136
455,17331,PA,Penn Township,York County,220444
456,60056,IL,Mount Prospect,Cook County,347801
457,32608,FL,Gainesville,Alachua County,266245
458,90631,CA,La Habra,Orange County,775362
459,31907,GA,Columbus,Muscogee County,123045
460,30263,GA,Newnan,Coweta County,248740
461,92104,CA,San Diego,San Diego County,800770
462,77375,TX,Tomball,Harris County,272700
463,20852,MD,North Bethesda,Montgomery County,551241
464,37421,TN,Chattanooga,Hamilton County,267437
465,60637,IL,Chicago,Cook County,200712
466,63021,MO,Ballwin,Saint Louis County,307962
467,92647,CA,Huntington Beach,Orange County,949692
468,37129,TN,Murfreesboro,Rutherford County,339067
469,87124,NM,Rio Rancho,Sandoval County,257982
471,32792,FL,Winter Park,Orange County,323108
472,20020,DC,Washington,District of Columbia,443930
473,33511,FL,Brandon,Hillsborough County,301144
474,15301,PA,Washington,Washington County,195345
475,85204,AZ,Mesa,Maricopa County,320753
476,92154,CA,San Diego,San Diego County,643120
477,59901,MT,Kalispell,Flathead County,471208
478,77083,TX,Houston,Harris County,226165
479,75211,TX,Dallas,Dallas County,216449
480,30066,GA,Marietta,Cobb County,351297
481,21224,MD,Baltimore,Baltimore City,212372
482,97045,OR,Oregon City,Clackamas County,541463
