,zip_code,city,state,latitude,longitude,review_count,rating,categories,price,delivery,pickup,restaurant_reservation,price_value_1.0,price_value_2.0,price_value_3.0,price_value_4.0
431,10305,Staten Island,NY,40.61831,-74.06958,267,4.0,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}]",2.0,1,1,0,0,1,0,0
432,10305,Staten Island,NY,40.589416,-74.066331,294,2.5,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'newamerican', 'title': 'American (New)'}]",3.0,1,0,0,0,0,1,0
433,11209,Brooklyn,NY,40.61782,-74.03353,179,4.5,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]",2.0,1,1,0,0,1,0,0
434,10301,Staten Island,NY,40.640118,-74.0759269,221,4.0,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]",2.0,1,0,0,0,1,0,0
435,10306,Staten Island,NY,40.5654903,-74.1144495,122,3.5,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'panasian', 'title': 'Pan Asian'}]",2.0,1,0,0,0,1,0,0
436,10305,Staten Island,NY,40.582986,-74.097047,95,3.5,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]",0.0,1,1,0,0,0,0,0
437,10306,Staten Island,NY,40.5701278126894,-74.108795389156,46,4.0,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]",2.0,1,1,0,0,1,0,0
438,10305,Staten Island,NY,40.5921058654785,-74.067626953125,16,4.5,"[{'alias': 'polish', 'title': 'Polish'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'lounges', 'title': 'Lounges'}]",2.0,0,1,0,0,1,0,0
439,10306,Staten Island,NY,40.5753893,-74.1192837,88,4.5,"[{'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'empanadas', 'title': 'Empanadas'}, {'alias': 'salad', 'title': 'Salad'}]",0.0,1,1,0,0,0,0,0
440,10306,Staten Island,NY,40.5738067626953,-74.1175994873047,96,3.5,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",2.0,1,1,0,0,1,0,0
