,postal_code,stars_1.0,stars_1.5,stars_2.0,stars_2.5,stars_3.0,stars_3.5,stars_4.0,stars_4.5,stars_5.0,total_stars,stars_1.0_ratio,ratio_stars_1.0,ratio_stars_1.5,ratio_stars_2.0,ratio_stars_2.5,ratio_stars_3.0,ratio_stars_3.5,ratio_stars_4.0,ratio_stars_4.5,ratio_stars_5.0
108,18076,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
109,18084,0,0,0,0,0,0,2,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
110,18901,0,1,2,9,11,27,22,16,3,91.0,0.0,0.0,0.01098901098901099,0.02197802197802198,0.0989010989010989,0.12087912087912088,0.2967032967032967,0.24175824175824176,0.17582417582417584,0.03296703296703297
111,18902,0,0,0,0,1,6,4,3,1,15.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.4,0.26666666666666666,0.2,0.06666666666666667
112,18911,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
113,18912,0,0,0,1,1,2,2,1,1,8.0,0.0,0.0,0.0,0.0,0.125,0.125,0.25,0.25,0.125,0.125
114,18913,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
115,18914,0,0,1,1,5,9,6,3,1,26.0,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.19230769230769232,0.34615384615384615,0.23076923076923078,0.11538461538461539,0.038461538461538464
116,18915,0,0,2,1,1,2,0,3,0,9.0,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.3333333333333333,0.0
117,18917,0,0,0,1,3,0,3,2,0,9.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.0,0.3333333333333333,0.2222222222222222,0.0
118,18924,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
119,18925,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
