postal_code,State,City,CountyName,2021
22304,VA,Alexandria,Alexandria City,416763
87121,NM,Albuquerque,Bernalillo County,209531
11372,NY,New York,Queens County,479910
22193,VA,Woodbridge,Prince William County,415272
93065,CA,Simi Valley,Ventura County,740222
27858,NC,Greenville,Pitt County,198851
45840,OH,Findlay,Hancock County,182058
60649,IL,Chicago,Cook County,174337
33063,FL,Margate,Broward County,243360
27703,NC,Durham,Durham County,313396
23454,VA,Virginia Beach,Virginia Beach City,358297
60626,IL,Chicago,Cook County,237164
33064,FL,Pompano Beach,Broward County,284898
48185,MI,Westland,Wayne County,186072
92627,CA,Costa Mesa,Orange County,1057786
33027,FL,Miramar,Broward County,371454
85705,AZ,Tucson,Pima County,217332
33311,FL,Fort Lauderdale,Broward County,276326
8831,NJ,Monroe Township,Middlesex County,433374
20147,VA,Ashburn,Loudoun County,636987
44130,OH,Parma Heights,Cuyahoga County,181948
90025,CA,Los Angeles,Los Angeles County,1124261
20878,MD,Gaithersburg,Montgomery County,624155
43228,OH,Columbus,Franklin County,180367
30022,GA,Johns Creek,Fulton County,514289
30004,GA,Milton,Fulton County,558749
23666,VA,Hampton,Hampton City,230263
85142,AZ,Queen Creek,Pinal County,481758
98682,WA,Vancouver,Clark County,439544
95035,CA,Milpitas,Santa Clara County,1286493
91710,CA,Chino,San Bernardino County,639390
90011,CA,Los Angeles,Los Angeles County,532176
23223,VA,Richmond,Richmond City,221834
11218,NY,New York,Kings County,966810
27713,NC,Durham,Durham County,348751
77082,TX,Houston,Harris County,224279
44077,OH,Painesville,Lake County,192001
94544,CA,Hayward,Alameda County,822554
43701,OH,Zanesville,Muskingum County,137034
29730,SC,Rock Hill,York County,220636
11223,NY,New York,Kings County,974640
60622,IL,Chicago,Cook County,552998
29464,SC,Mount Pleasant,Charleston County,601353
60616,IL,Chicago,Cook County,372413
27284,NC,Kernersville,Forsyth County,244518
35242,AL,Hoover,Jefferson County,434558
58103,ND,Fargo,Cass County,216663
80015,CO,Aurora,Arapahoe County,517470
20019,DC,Washington,District of Columbia,424831
55901,MN,Rochester,Olmsted County,273960
10021,NY,New York,New York County,1375745
80525,CO,Fort Collins,Larimer County,509136
30127,GA,Powder Springs,Cobb County,294920
97402,OR,Eugene,Lane County,358334
33313,FL,Lauderhill,Broward County,128591
71913,AR,Hot Springs,Garland County,211326
90027,CA,Los Angeles,Los Angeles County,1750495
37064,TN,Franklin,Williamson County,630652
37066,TN,Gallatin,Sumner County,350825
98115,WA,Seattle,King County,1000224
42101,KY,Bowling Green,Warren County,157345
93727,CA,Fresno,Fresno County,355386
94568,CA,Dublin,Alameda County,1226435
19124,PA,Philadelphia,Philadelphia County,150663
95051,CA,Santa Clara,Santa Clara County,1652058
91335,CA,Los Angeles,Los Angeles County,723301
95687,CA,Vacaville,Solano County,544809
32828,FL,Orlando,Orange County,374815
32225,FL,Jacksonville,Duval County,313654
76116,TX,Fort Worth,Tarrant County,258814
90731,CA,Los Angeles,Los Angeles County,751134
77840,TX,College Station,Brazos County,222368
77007,TX,Houston,Harris County,461418
85251,AZ,Scottsdale,Maricopa County,495646
23452,VA,Virginia Beach,Virginia Beach City,298630
75150,TX,Mesquite,Dallas County,227611
30253,GA,McDonough,Henry County,260551
37122,TN,Mount Juliet,Wilson County,424898
30135,GA,Douglasville,Douglas County,266830
73160,OK,Moore,Cleveland County,175402
89031,NV,North Las Vegas,Clark County,339846
93550,CA,Palmdale,Los Angeles County,378629
43068,OH,Reynoldsburg,Franklin County,234046
93536,CA,Lancaster,Los Angeles County,476030
29681,SC,Simpsonville,Greenville County,307301
60615,IL,Chicago,Cook County,281652
7087,NJ,Union City,Hudson County,442147
40601,KY,Frankfort,Franklin County,178364
33319,FL,Lauderhill,Broward County,165783
78501,TX,McAllen,Hidalgo County,153771
98122,WA,Seattle,King County,894108
21215,MD,Baltimore,Baltimore City,167363
63123,MO,Affton,Saint Louis County,198744
14580,NY,Town of Webster,Monroe County,268415
92630,CA,Lake Forest,Orange County,901128
66061,KS,Olathe,Johnson County,327356
14221,NY,Town Of Amherst,Erie County,314388
23451,VA,Virginia Beach,Virginia Beach City,504267
94509,CA,Antioch,Contra Costa County,543320
11225,NY,New York,Kings County,1318302
11208,NY,New York,Kings County,608919
95758,CA,Elk Grove,Sacramento County,537949
93306,CA,Bakersfield,Kern County,277254
60641,IL,Chicago,Cook County,368007
45601,OH,Chillicothe,Ross County,148325
78249,TX,San Antonio,Bexar County,274508
89123,NV,Las Vegas,Clark County,379759
21122,MD,Pasadena,Anne Arundel County,384811
89148,NV,Las Vegas,Clark County,405132
93307,CA,Bakersfield,Kern County,241116
77057,TX,Houston,Harris County,260864
19446,PA,Lansdale,Montgomery County,396624
93535,CA,Lancaster,Los Angeles County,363216
78254,TX,San Antonio,Bexar County,279634
94122,CA,San Francisco,San Francisco County,1626216
33467,FL,Greenacres,Palm Beach County,395031
11101,NY,New York,Queens County,807913
77521,TX,Baytown,Harris County,218731
93274,CA,Tulare,Tulare County,284030
27707,NC,Durham,Durham County,343732
46143,IN,Greenwood,Johnson County,269756
34293,FL,Venice,Sarasota County,332740
29445,SC,Goose Creek,Berkeley County,247435
98133,WA,Shoreline,King County,726663
33321,FL,Tamarac,Broward County,247902
75070,TX,McKinney,Collin County,424120
60660,IL,Chicago,Cook County,277630
28205,NC,Charlotte,Mecklenburg County,380926
75002,TX,Allen,Collin County,393835
60453,IL,Oak Lawn,Cook County,252888
2301,MA,Brockton,Plymouth County,408564
75043,TX,Garland,Dallas County,251487
93257,CA,Porterville,Tulare County,259416
19020,PA,Bensalem Township,Bucks County,333839
37167,TN,Smyrna,Rutherford County,317728
28601,NC,Hickory,Catawba County,223113
99208,WA,Spokane,Spokane County,413044
31088,GA,Warner Robins,Houston County,164724
11204,NY,New York,Kings County,954907
93230,CA,Hanford,Kings County,303853
32246,FL,Jacksonville,Duval County,268960
11213,NY,New York,Kings County,1008291
19720,DE,New Castle,New Castle County,226682
48823,MI,East Lansing,Ingham County,253723
70726,LA,Denham Springs,Livingston Parish,201158
21222,MD,Dundalk,Baltimore County,171350
29579,SC,Forestbrook,Horry County,266880
31419,GA,Savannah,Chatham County,217305
19120,PA,Philadelphia,Philadelphia County,153645
11219,NY,New York,Kings County,846358
22204,VA,Arlington,Arlington County,611610
27519,NC,Cary,Wake County,538271
37040,TN,Clarksville,Montgomery County,233201
27705,NC,Durham,Durham County,380714
77346,TX,Atascocita,Harris County,262657
93309,CA,Bakersfield,Kern County,282020
85282,AZ,Tempe,Maricopa County,394453
20874,MD,Germantown,Montgomery County,355795
29223,SC,Columbia,Richland County,171909
30909,GA,Augusta,Richmond County,207873
29485,SC,Summerville,Dorchester County,287578
28216,NC,Charlotte,Mecklenburg County,262817
10032,NY,New York,New York County,595188
94541,CA,Hayward,Alameda County,811599
94538,CA,Fremont,Alameda County,1218731
95076,CA,Watsonville,Santa Cruz County,757900
36117,AL,Montgomery,Montgomery County,204344
78748,TX,Austin,Travis County,468601
76179,TX,Fort Worth,Tarrant County,282822
90802,CA,Long Beach,Los Angeles County,478300
33157,FL,Village of Palmetto Bay,Miami-Dade County,429383
85383,AZ,Peoria,Maricopa County,567755
78251,TX,San Antonio,Bexar County,241828
60085,IL,Waukegan,Lake County,163936
78758,TX,Austin,Travis County,470018
94513,CA,Brentwood,Contra Costa County,843958
28215,NC,Charlotte,Mecklenburg County,274194
32765,FL,Oviedo,Seminole County,387763
83646,ID,Meridian,Ada County,526136
17331,PA,Penn Township,York County,220444
60056,IL,Mount Prospect,Cook County,347801
32608,FL,Gainesville,Alachua County,266245
90631,CA,La Habra,Orange County,775362
31907,GA,Columbus,Muscogee County,123045
30263,GA,Newnan,Coweta County,248740
92104,CA,San Diego,San Diego County,800770
77375,TX,Tomball,Harris County,272700
20852,MD,North Bethesda,Montgomery County,551241
37421,TN,Chattanooga,Hamilton County,267437
60637,IL,Chicago,Cook County,200712
63021,MO,Ballwin,Saint Louis County,307962
92647,CA,Huntington Beach,Orange County,949692
37129,TN,Murfreesboro,Rutherford County,339067
87124,NM,Rio Rancho,Sandoval County,257982
32792,FL,Winter Park,Orange County,323108
20020,DC,Washington,District of Columbia,443930
33511,FL,Brandon,Hillsborough County,301144
15301,PA,Washington,Washington County,195345
85204,AZ,Mesa,Maricopa County,320753
92154,CA,San Diego,San Diego County,643120
59901,MT,Kalispell,Flathead County,471208
77083,TX,Houston,Harris County,226165
75211,TX,Dallas,Dallas County,216449
30066,GA,Marietta,Cobb County,351297
21224,MD,Baltimore,Baltimore City,212372
97045,OR,Oregon City,Clackamas County,541463
92618,CA,Irvine,Orange County,1063984
85345,AZ,Peoria,Maricopa County,313681
78741,TX,Austin,Travis County,435742
92115,CA,San Diego,San Diego County,723648
83301,ID,Twin Falls,Twin Falls County,313072
63129,MO,Oakville,Saint Louis County,273645
6516,CT,West Haven,New Haven County,256129
1960,MA,Peabody,Essex County,573507
95355,CA,Modesto,Stanislaus County,437666
89110,NV,Las Vegas,Clark County,286917
11368,NY,New York,Queens County,583219
43015,OH,Delaware,Delaware County,306475
37027,TN,Brentwood,Williamson County,828810
85301,AZ,Glendale,Maricopa County,242819
85022,AZ,Phoenix,Maricopa County,394723
11203,NY,New York,Kings County,647326
55124,MN,Apple Valley,Dakota County,341951
94587,CA,Union City,Alameda County,1192068
60608,IL,Chicago,Cook County,326923
78664,TX,Round Rock,Williamson County,372327
33578,FL,Riverview,Hillsborough County,284367
33458,FL,Jupiter,Palm Beach County,464254
74133,OK,Tulsa,Tulsa County,234833
95670,CA,Rancho Cordova,Sacramento County,457087
11220,NY,New York,Kings County,761157
21061,MD,Glen Burnie,Anne Arundel County,315138
19104,PA,Philadelphia,Philadelphia County,212590
92646,CA,Huntington Beach,Orange County,1104711
10031,NY,New York,New York County,630511
42701,KY,Elizabethtown,Hardin County,209926
11216,NY,New York,Kings County,1151366
98632,WA,Longview,Cowlitz County,335014
28227,NC,Mint Hill,Mecklenburg County,299757
23322,VA,Chesapeake,Chesapeake City,423780
79924,TX,El Paso,El Paso County,140203
92620,CA,Irvine,Orange County,1156168
38305,TN,Jackson,Madison County,200090
78753,TX,Austin,Travis County,412885
70072,LA,Marrero,Jefferson Parish,192904
96706,HI,Ewa Beach,Honolulu County,762683
32825,FL,Orlando,Orange County,310322
97401,OR,Eugene,Lane County,463541
19067,PA,Lower Makefield Township,Bucks County,466894
75098,TX,Wylie,Collin County,363195
19134,PA,Philadelphia,Philadelphia County,112665
60148,IL,Lombard,DuPage County,294602
73013,OK,Edmond,Oklahoma County,260278
30101,GA,Acworth,Cobb County,348870
89074,NV,Henderson,Clark County,398896
