,postal_code,state_id,state,city,county_name,2021,All_Residential,Multi_Family_homes,Condo/Co-op,Single_Family_Homes,Towmhomes
14790,12153,NY,New York,Sand Lake,Rensselaer,254875.0,12,0,0,12,0
14791,86338,AZ,Arizona,Skull Valley,Yavapai,340000.0,5,0,0,5,0
14792,44321,OH,Ohio,Akron,Summit,259014.0,12,0,12,12,8
14793,56042,MN,Minnesota,Hartland,Freeborn,126100.0,8,0,0,8,0
14794,12563,NY,New York,Patterson,Putnam,294177.0,12,0,9,12,6
14795,75468,TX,Texas,Pattonville,Lamar,193900.0,5,0,0,5,0
14796,53923,WI,Wisconsin,Cambria,Columbia,177690.0,12,0,0,12,0
14797,84092,UT,Utah,Sandy,Salt Lake,679485.0,12,0,9,12,9
14798,12187,NY,New York,Warnerville,Schoharie,215547.0,10,0,0,10,0
14799,99360,WA,Washington,Touchet,Walla Walla,521900.0,12,0,0,12,0
14800,75234,TX,Texas,Dallas,Dallas,315709.0,12,1,12,12,12
14801,95606,CA,California,Brooks,Yolo,406429.0,7,0,0,7,0
14802,53555,WI,Wisconsin,Lodi,Columbia,312655.0,12,9,11,12,6
14803,1367,MA,Massachusetts,Rowe,Franklin,305000.0,5,0,0,5,0
14804,62294,IL,Illinois,Troy,Madison,258496.0,12,7,0,12,0
14805,91948,CA,California,Mount Laguna,San Diego,158972.0,9,0,0,9,0
14806,14555,NY,New York,Sodus Point,Wayne,270309.0,12,3,0,12,0
14807,74053,OK,Oklahoma,Oologah,Rogers,246647.0,12,0,0,12,0
14808,19145,PA,Pennsylvania,Philadelphia,Philadelphia,301657.0,12,12,3,9,12
14809,78073,TX,Texas,Von Ormy,Bexar,248779.0,12,0,0,12,0
14810,39307,MS,Mississippi,Meridian,Lauderdale,36000.0,3,0,0,3,0
14811,17555,PA,Pennsylvania,Narvon,Lancaster,278947.0,12,0,0,12,6
14812,53002,WI,Wisconsin,Allenton,Washington,358383.0,12,0,7,12,0
14813,80436,CO,Colorado,Dumont,Clear Creek,752500.0,4,0,0,4,0
14814,35768,AL,Alabama,Scottsboro,Jackson,159538.0,12,4,0,12,0
14815,54440,WI,Wisconsin,Hatley,Marathon,228879.0,12,0,0,12,0
14816,16145,PA,Pennsylvania,Sandy Lake,Mercer,163425.0,12,0,0,12,0
14817,61071,IL,Illinois,Rock Falls,Whiteside,83370.0,9,7,0,9,0
14818,97109,OR,Oregon,Buxton,Washington,737083.0,12,0,0,12,0
14819,17221,PA,Pennsylvania,Fannettsburg,Franklin,155393.0,7,0,0,7,0
14820,70454,LA,Louisiana,Ponchatoula,Tangipahoa,239063.0,12,8,12,12,2
14821,5667,VT,Vermont,Plainfield,Washington,310985.0,12,6,0,12,0
14822,10979,NY,New York,Sterling Forest,Orange,202500.0,6,0,0,6,0
14823,94973,CA,California,Woodacre,Marin,1355857.0,12,4,0,12,0
14824,75662,TX,Texas,Kilgore,Gregg,246955.0,11,0,0,11,0
14825,29471,SC,South Carolina,Reevesville,Dorchester,184104.0,12,0,0,12,0
14826,47281,IN,Indiana,Vallonia,Jackson,270000.0,3,0,0,3,0
14827,2894,RI,Rhode Island,Wood River Junction,Washington,479860.0,11,3,0,11,0
14828,86322,AZ,Arizona,Camp Verde,Yavapai,427395.0,11,0,0,11,0
14829,37047,TN,Tennessee,Cornersville,Marshall,226886.0,12,3,0,12,0
14830,79835,TX,Texas,Canutillo,El Paso,235992.0,12,0,0,12,0
14831,55368,MN,Minnesota,Norwood Young America,Carver,242992.0,12,0,0,12,1
14832,71006,LA,Louisiana,Benton,Bossier,307663.0,12,0,0,12,0
14833,50256,IA,Iowa,Tracy,Marion,78286.0,7,0,0,7,0
14834,68458,NE,Nebraska,Virginia,Gage,250000.0,3,0,0,3,0
14835,38229,TN,Tennessee,Gleason,Weakley,775000.0,3,0,0,3,0
14836,28133,NC,North Carolina,Peachland,Anson,165279.0,12,0,0,12,0
14837,61377,IL,Illinois,Wenona,Marshall,111574.0,8,6,0,8,0
14838,12095,NY,New York,Johnstown,Fulton,145606.0,12,3,0,12,0
14839,62640,IL,Illinois,Girard,Macoupin,82878.0,9,0,0,9,0
14840,62245,IL,Illinois,Germantown,Clinton,150304.0,10,3,0,10,0
14841,62281,IL,Illinois,Saint Jacob,Madison,280571.0,12,0,0,12,0
14842,77702,TX,Texas,Beaumont,Jefferson,182458.0,9,0,0,9,0
14843,5045,VT,Vermont,Fairlee,Orange,268092.0,12,0,0,12,0
14844,79915,TX,Texas,El Paso,El Paso,172129.0,12,10,0,12,0
14845,28619,NC,North Carolina,Drexel,Burke,132029.0,7,0,0,7,0
14846,55367,MN,Minnesota,New Germany,Carver,270814.0,11,0,0,11,0
14847,8324,NJ,New Jersey,Heislerville,Cumberland,131889.0,9,0,0,9,0
14848,44099,OH,Ohio,Windsor,Ashtabula,187554.0,12,0,0,12,0
14849,21032,MD,Maryland,Crownsville,Anne Arundel,528971.0,12,0,0,12,0
14850,87507,NM,New Mexico,Santa Fe,Santa Fe,362465.0,12,3,12,12,12
14851,6511,CT,Connecticut,New Haven,New Haven,310084.0,12,12,12,12,0
14852,80005,CO,Colorado,Arvada,Jefferson,510690.0,12,5,12,12,12
14853,44437,OH,Ohio,McDonald,Trumbull,106111.0,12,0,0,12,3
14854,63389,MO,Missouri,Winfield,Lincoln,204718.0,12,0,0,12,0
14855,80475,CO,Colorado,Shawnee,Park,240375.0,4,0,0,4,0
14856,77087,TX,Texas,Houston,Harris,224207.0,12,12,0,12,3
14857,48446,MI,Michigan,Lapeer,Lapeer,192644.0,12,12,12,12,0
14858,7756,NJ,New Jersey,Ocean Grove,Monmouth,594907.0,12,11,12,12,0
14859,15544,PA,Pennsylvania,Gray,Somerset,82000.0,3,0,0,3,0
14860,93616,CA,California,Del Rey,Fresno,521818.0,11,0,0,11,0
14861,35094,AL,Alabama,Leeds,Jefferson,207041.0,12,0,0,12,7
14862,19808,DE,Delaware,Wilmington,New Castle,262699.0,12,2,12,12,12
14863,37687,TN,Tennessee,Roan Mountain,Carter,831000.0,3,0,0,3,0
14864,33855,FL,Florida,Indian Lake Estates,Polk,242825.0,10,0,0,10,0
14865,35968,AL,Alabama,Fort Payne,DeKalb,186592.0,12,0,0,12,0
14866,5450,VT,Vermont,Enosburg Falls,Franklin,246494.0,12,5,0,12,0
14867,63767,MO,Missouri,Morley,Scott,17500.0,3,0,0,3,0
14868,1036,MA,Massachusetts,Hampden,Hampden,398169.0,12,0,2,12,0
14869,43465,OH,Ohio,Walbridge,Wood,152173.0,12,2,0,12,0
14870,90028,CA,California,Los Angeles,Los Angeles,1081341.0,12,9,12,12,7
14871,63349,MO,Missouri,Hawk Point,Lincoln,242579.0,12,0,0,12,0
14872,76084,TX,Texas,Venus,Johnson,286227.0,12,5,0,12,3
14873,47018,IN,Indiana,Dillsboro,Dearborn,259125.0,10,0,0,10,0
14874,12161,NY,New York,South Bethlehem,Albany,165000.0,3,0,0,3,0
14875,43154,OH,Ohio,Stoutsville,Fairfield,260093.0,12,0,3,12,0
14876,74079,OK,Oklahoma,Stroud,Lincoln,121590.0,12,0,0,12,0
14877,2666,MA,Massachusetts,Truro,Barnstable,976750.0,12,3,6,12,0
14878,68018,NE,Nebraska,Colon,Saunders,222778.0,9,0,0,9,0
14879,12086,NY,New York,Hagaman,Montgomery,217533.0,12,0,0,12,0
14880,17077,PA,Pennsylvania,Ono,Lebanon,188500.0,3,3,0,0,0
14881,84128,UT,Utah,West Valley City,Salt Lake,379269.0,12,7,9,12,12
14882,1510,MA,Massachusetts,Clinton,Worcester,351132.0,12,12,12,12,12
14883,56435,MN,Minnesota,Backus,Cass,246029.0,12,0,0,12,0
14884,90021,CA,California,Los Angeles,Los Angeles,808826.0,10,0,10,3,0
14885,50105,IA,Iowa,Gilbert,Story,252845.0,12,0,0,12,0
14886,62047,IL,Illinois,Hardin,Calhoun,76111.0,9,0,0,9,0
14887,15142,PA,Pennsylvania,Presto,Allegheny,665471.0,12,0,0,12,2
14888,6783,CT,Connecticut,Roxbury,Litchfield,1015479.0,12,0,0,12,0
14889,34288,FL,Florida,North Port,Sarasota,286403.0,12,2,0,12,0
14890,29569,SC,South Carolina,Loris,Horry,200635.0,12,3,0,12,0
14891,28660,NC,North Carolina,Olin,Iredell,242292.0,12,0,0,12,0
14892,37764,TN,Tennessee,Kodak,Sevier,299583.0,12,3,2,12,1
14893,30043,GA,Georgia,Lawrenceville,Gwinnett,291969.0,12,2,12,12,12
14894,98606,WA,Washington,Brush Prairie,Clark,714306.0,12,0,0,12,3
