,postal_code,Total population,Sex ratio (males per 100 females),Median age (years),White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Total housing units
640,10588,3087,85.9,46.1,2462,148,39,154,0,284,0,1182
644,10589,8793,86.5,58.8,8374,142,0,116,0,145,16,4225
648,10590,7078,96,45.7,6381,165,16,219,0,153,144,2943
652,10591,23044,89.1,41,15180,1335,0,1191,0,4524,814,9395
656,10594,5090,96.8,42,4378,202,0,197,0,284,29,1609
660,10595,8473,118.6,37.9,6251,1009,35,673,0,317,188,2508
664,10596,1242,132.1,38.6,1098,28,0,9,0,0,107,564
672,10598,29320,96.4,45.5,25171,1222,242,1650,12,507,516,11351
676,10601,10614,93.9,39.9,5753,1527,0,1387,0,1769,178,6035
680,10603,17866,85.7,38.8,10044,4668,103,1513,13,1152,373,7272
684,10604,11290,94,41.3,8272,1120,43,590,0,993,272,4209
688,10605,19195,95.1,45,14701,1270,18,998,0,1397,811,7675
692,10606,16841,102.1,36.5,7417,2281,17,1216,12,5608,290,6132
696,10607,7578,98.3,41.9,3417,1889,25,1048,0,975,224,2593
700,10701,61604,94.3,36,25722,17378,644,3169,46,12498,2147,26298
704,10703,22148,85.5,37.7,11605,4224,0,1159,12,4091,1057,7860
708,10704,31683,94.8,41.4,21115,4577,84,2222,7,2953,725,12881
712,10705,39944,96.6,36.1,16734,8409,420,2090,0,10073,2218,15222
716,10706,8493,80.4,44.7,7313,203,0,578,0,200,199,3277
720,10707,10260,100.9,41.1,7809,544,0,905,0,447,555,4267
724,10708,21769,81.8,43,17244,1415,25,1009,23,1191,862,9579
728,10709,9603,87,42.5,8677,193,9,590,0,61,73,3873
732,10710,25262,87.8,44.1,14320,3735,210,3348,0,2745,904,10113
736,10801,41370,92.9,36.5,19245,10867,62,2161,49,7335,1651,15606
740,10803,12510,98.5,39.1,9414,1167,0,970,0,409,550,4233
744,10804,15229,98.7,46.5,12478,1166,0,769,0,482,334,5441
748,10805,19096,81.3,42.6,10020,3785,2,906,0,3851,532,7898
752,10901,23039,93.1,44.9,18325,1378,33,1279,14,1314,696,9179
756,10910,0,0,0,0,0,0,0,0,0,0,0
760,10911,0,0,0,0,0,0,0,0,0,0,0
764,10913,5075,97.3,39.4,4425,67,0,394,0,64,125,1524
772,10915,85,60.4,54.9,85,0,0,0,0,0,0,30
776,10916,4352,101.1,41.6,4088,32,0,56,0,131,45,1472
780,10917,1766,113.8,38.9,1304,0,0,138,0,256,68,656
784,10918,12653,93.4,38.5,9593,991,59,249,0,1364,397,4549
792,10920,9075,97.5,45.3,6944,403,42,802,0,615,269,3132
796,10921,3809,98.2,43.1,3112,117,93,37,6,253,191,1531
800,10922,1637,88.6,44.8,1239,15,0,164,0,192,27,718
804,10923,8627,95,35.9,4297,1067,0,687,0,2162,414,2824
808,10924,13508,105.8,43.1,11252,556,8,395,72,905,320,4811
812,10925,3913,115,47.1,3673,72,98,25,0,8,37,2477
816,10926,3592,110.1,38.2,1980,851,0,235,0,403,123,1455
820,10927,12065,100.2,35.2,4946,1181,12,282,0,5140,504,3958
824,10928,4145,103.7,43.7,2602,786,12,285,0,168,292,2008
828,10930,9425,111.6,40.8,7542,818,0,536,0,366,163,3189
840,10933,563,59.5,36.8,535,0,0,28,0,0,0,211
844,10940,48021,95,38,28149,8657,136,1363,11,6889,2816,20220
848,10941,13786,105.9,38.2,7352,3483,81,704,0,1060,1106,5446
852,10950,50979,106,21.7,44258,1588,138,1313,0,2834,848,13690
856,10952,42063,96.5,19.7,38247,2087,2,743,0,542,442,9886
860,10953,109,29.8,47.1,109,0,0,0,0,0,0,58
864,10954,22931,91.6,44.9,14849,3502,18,3003,0,821,738,8708
868,10956,32289,93.5,45.4,23929,2953,30,3634,0,1034,709,10835
872,10958,3319,123.7,43.8,2689,457,0,13,0,101,59,1108
876,10960,15857,86.5,43.7,10557,3495,0,596,12,674,523,6806
880,10962,6034,121.3,45.4,4510,436,26,818,0,137,107,1910
884,10963,4487,172.3,41.1,2912,695,0,96,0,427,357,1165
888,10964,1224,100.7,52.3,1075,27,0,111,0,0,11,530
892,10965,15534,94.5,41.3,13109,591,117,935,0,578,204,5713
896,10968,2400,104.8,50.2,2084,109,0,145,0,0,62,1328
900,10969,1329,129.1,44.2,1189,61,0,58,0,0,21,456
904,10970,10082,86.2,38.9,5195,1961,0,694,0,1309,923,3774
908,10973,2479,111.7,39.2,2038,191,47,25,0,78,100,843
912,10974,3202,100.1,44.4,2833,142,0,77,0,85,65,1230
916,10975,200,104.1,26.5,159,0,0,0,0,11,30,155
920,10976,2332,74.6,38.4,1737,120,12,197,1,230,35,741
924,10977,66138,105,25.9,38058,16033,74,1574,0,9316,1083,17261
928,10979,162,326.3,50.9,162,0,0,0,0,0,0,156
932,10980,13942,93.5,43.9,10587,1637,41,473,0,886,318,5173
936,10983,5999,90.4,45,4629,60,0,819,0,182,309,1970
940,10984,2789,91.2,44.8,1822,518,0,66,0,300,83,961
944,10985,162,42.1,33.8,162,0,0,0,0,0,0,49
948,10986,1899,92.8,42.5,1713,41,0,27,0,39,79,584
952,10987,3408,102.1,48.4,2967,206,0,31,0,165,39,1520
960,10989,8689,87.3,49,6231,746,30,872,0,426,384,3699
964,10990,20307,90.9,46.6,18127,674,101,425,45,574,361,7847
968,10992,9360,97.6,42.6,7644,752,47,129,0,603,185,3534
972,10993,4803,97.9,43.6,2591,1046,67,188,0,668,243,1583
976,10994,7396,100.1,48.8,6168,98,0,596,0,268,266,2630
980,10996,6383,187.9,21,4890,450,44,327,10,166,496,979
984,10998,3281,112,40.3,2883,26,0,12,0,301,59,1091
988,11001,28021,98,44.1,18046,1639,107,5998,0,1684,547,9449
992,11003,44572,97.4,39.1,9834,21510,73,5981,13,4984,2177,12952
996,11004,15098,93.3,44.7,6191,928,76,6510,51,636,706,5441
1000,11005,1759,45.5,82.1,1717,0,0,42,0,0,0,1600
1004,11010,24752,97.3,42.5,19094,385,157,1974,0,2755,387,8133
1008,11020,5774,108.4,45.5,2515,600,14,2449,0,110,86,1962
1012,11021,18245,85.1,46,12413,405,145,4445,0,461,376,8377
1016,11023,9301,98.3,39,8078,80,0,950,0,103,90,3133
1020,11024,7786,135.1,31.6,6554,123,0,473,0,483,153,2270
1024,11030,18578,89,47.6,14494,170,6,3281,0,229,398,6787
1028,11040,41592,89.3,44.4,20678,619,186,15783,103,3084,1139,13258
1036,11050,30357,94.9,41.5,23882,480,44,3631,6,1901,413,11952
1040,11096,8362,100,33.7,3671,1689,0,391,0,2529,82,2670
1044,11101,31366,99.5,34,13181,4683,252,7741,64,3895,1550,18766
1048,11102,29747,97.5,34.3,17887,2726,23,4746,13,3260,1092,16813
1052,11103,35995,96,33.9,25251,932,70,4992,40,3448,1262,18178
1056,11104,25114,96.7,38,15805,518,80,6087,0,1785,839,12715
1060,11105,36983,104.5,35.7,28467,930,27,4233,0,2056,1270,17275
1064,11106,37690,92.3,35.8,20103,2912,59,7938,8,4848,1822,19336
1068,11109,5980,98.9,33.4,3888,55,0,1815,0,34,188,4507
1072,11201,63378,90.6,34.9,40722,8367,201,7851,49,2505,3683,31445
1076,11203,76085,79.9,40.2,3364,67699,147,1390,0,2233,1252,31396
1080,11204,76395,101.5,34.7,43354,954,229,25181,10,5069,1598,25569
1084,11205,46843,85.3,29.5,24069,14522,286,2966,4,3144,1852,18101
1088,11206,88422,94.6,29.3,41063,21797,525,5966,125,15424,3522,33028
1092,11207,91083,79.8,35.2,13754,59435,220,1630,69,13831,2144,37857
1096,11208,101313,88,32.3,27587,54461,210,6087,65,10791,2112,37867
1100,11209,67782,91.5,41.2,49657,2150,220,8984,63,3974,2734,33110
1104,11210,64665,83.8,36.3,20472,37938,59,2625,0,2434,1137,23801
1108,11211,103123,100.7,31,77250,6663,554,5762,22,9329,3543,43759
1112,11212,75605,71.2,38.3,6384,60356,69,845,43,5543,2365,35326
1116,11213,67056,83.6,33.7,16302,43727,147,1552,14,3084,2230,27728
1120,11214,92644,98,39.5,44420,1828,255,34282,5,9006,2848,33692
1124,11215,69873,92.2,36.5,53997,3213,111,5680,0,3004,3868,30479
1128,11216,57786,86.7,33.8,18064,31201,159,3063,14,2512,2773,28008
1132,11217,41813,90.7,34.6,24274,8507,33,3510,18,3422,2049,20087
1136,11218,72413,100.1,35.3,43898,5711,420,13509,0,5610,3265,25913
1140,11219,89371,99.4,27.7,59594,1062,295,21241,18,6297,864,26951
1144,11220,93170,101.5,34.8,29003,2617,423,38601,0,19766,2760,29894
1148,11221,83322,92.2,32,23074,39114,497,2901,20,14511,3205,35362
1152,11222,36872,95,34.9,30425,1320,69,1619,0,1698,1741,18822
1156,11223,81388,96.1,36.7,46254,3802,297,20466,166,7652,2751,30130
1160,11224,45795,80.5,47.7,26249,10133,72,3423,6,4495,1417,20367
1164,11225,56859,84.6,35.5,16198,34633,132,1612,0,2423,1861,25749
1168,11226,99558,85.3,34.5,15922,67681,296,3072,0,10353,2234,40961
1172,11228,44348,96,41.5,23867,572,69,16617,36,2147,1040,16242
