,postal_code,Total population,Sex ratio (males per 100 females),Median age (years),White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Total housing units
3828,12917,1378,103.5,42.1,1271,48,0,1,0,9,49,580
3832,12918,2210,98.6,40.6,2084,22,28,0,0,76,0,990
3836,12919,2974,91.3,31.7,2939,0,6,12,0,6,11,1265
3840,12920,2285,99.6,47.2,2221,19,3,5,0,9,28,1476
3844,12921,2734,91.3,41.5,2573,12,0,13,0,80,56,1276
3860,12926,2304,92.6,43,2210,17,68,0,0,0,9,1096
3868,12928,1988,114.5,47.3,1955,2,4,1,0,26,0,1191
3872,12929,3982,1050.9,37,1646,1748,0,8,0,556,24,387
3880,12932,1157,88.7,59.1,1093,19,0,0,0,3,42,792
3888,12934,1007,106.4,45.8,994,1,0,9,0,0,3,460
3892,12935,1551,90.1,46.6,1504,6,0,0,0,3,38,917
3900,12937,2014,117.5,32.6,1254,74,435,2,0,20,229,770
3908,12941,1242,100.6,49,1192,29,1,0,0,5,15,966
3920,12944,3764,95.5,47.1,3630,29,26,1,3,19,56,2253
3928,12946,4746,85.9,36.6,4535,68,11,23,4,15,90,3672
3940,12953,15374,164.4,36.4,12087,2242,20,84,2,797,142,5596
3948,12956,1538,102.4,38.2,1396,93,0,0,0,34,15,635
3952,12957,1723,111.9,41.8,1701,0,22,0,0,0,0,791
3956,12958,1881,95.9,49.3,1815,0,0,0,0,32,34,1073
3960,12959,1454,72.3,44.5,1454,0,0,0,0,0,0,706
3968,12961,264,116.4,57.5,182,0,0,0,0,64,18,174
3972,12962,5256,93.2,49.4,5048,40,8,117,0,7,36,2331
3984,12966,2858,104.7,38.3,2793,0,50,7,0,3,5,1359
3988,12967,1094,108.4,40.5,1060,3,6,3,0,8,14,468
4000,12972,5983,104.8,42.8,5752,36,0,62,0,106,27,2558
4008,12974,1529,99.9,54.3,1412,7,18,0,0,3,89,831
4020,12977,1874,4964.9,33.5,647,872,0,0,0,240,115,70
4028,12979,2356,102.6,45.3,2271,8,10,26,3,4,34,1217
4032,12980,1321,109.4,47.1,1300,0,6,0,0,1,14,1297
4036,12981,2341,100.9,51.5,2310,0,0,31,0,0,0,1303
4040,12983,7463,112.2,42.7,6945,301,96,0,0,56,65,4948
4044,12985,1328,105.6,38.9,1243,0,53,0,0,0,32,568
4048,12986,5941,99.6,45.2,5579,97,20,18,0,152,75,3901
4052,12987,198,90.4,58.4,196,0,0,0,0,0,2,121
4060,12992,4197,103,40,4113,7,0,21,0,1,55,2014
4064,12993,1330,108.8,58.1,1306,8,2,2,0,0,12,1257
4068,12996,2119,119.1,53,1970,5,2,9,0,48,85,1740
4072,12997,1069,111.7,51,1012,2,16,3,0,1,35,834
4084,13021,37841,94.9,42.6,34388,1514,50,271,0,281,1337,18741
4088,13024,1709,0,39,471,1136,7,0,0,50,45,0
4092,13026,1677,106.5,35.2,1468,25,12,13,0,91,68,884
4096,13027,33049,99.8,43.8,31472,549,108,291,52,29,548,14657
4100,13028,1229,93.5,41.8,1196,0,0,0,0,0,33,816
4104,13029,7168,95.5,40.9,6947,0,27,127,0,0,67,3073
4108,13030,3518,118.9,45.9,3415,0,0,5,0,0,98,1704
4112,13031,15080,94.4,43.8,14200,208,11,360,0,10,291,6476
4116,13032,12208,95.6,43.3,11691,32,134,18,0,0,333,5754
4120,13033,3774,111.5,39.3,3707,11,0,4,0,6,46,1652
4124,13034,2021,87,41.7,1942,12,4,14,5,12,32,1103
4128,13035,8422,99.6,46.3,7994,225,44,84,0,38,37,3612
4132,13036,9064,105,43,8828,86,22,16,0,21,91,4162
4136,13037,9787,107.1,43.6,9354,168,70,6,0,71,118,3970
4140,13039,17028,93,42.7,16194,285,25,268,0,0,256,7152
4144,13040,2337,108.1,45.9,2253,11,18,2,0,19,34,1335
4148,13041,11409,90.5,41,9852,966,18,231,0,9,333,4597
4152,13042,2224,108.2,46.7,2213,0,0,1,0,0,10,1195
4156,13044,2595,106.4,49,2541,0,0,0,0,0,54,1201
4160,13045,28916,93.6,31.7,26901,869,28,260,0,165,693,12251
4164,13051,157,127.5,51.5,157,0,0,0,0,0,0,88
4168,13052,1541,108.2,44,1521,5,6,4,0,0,5,1048
4172,13053,5006,88,36.1,4566,140,5,120,0,65,110,1923
4176,13054,1775,95.3,43.8,1753,0,0,0,0,0,22,776
4180,13057,13643,93,48.1,12767,127,15,315,9,194,216,6641
4184,13060,2912,80.6,48.2,2699,25,6,35,0,6,141,1285
4188,13061,1087,124.6,51.1,1006,59,0,0,0,22,0,764
4192,13062,41,70.8,42.4,41,0,0,0,0,0,0,38
4196,13063,1934,102.3,46.9,1845,0,8,30,0,51,0,789
4204,13066,12525,95.1,46.2,11246,266,0,327,0,32,654,5413
4208,13068,5231,100.1,38.5,4925,67,7,47,0,0,185,2274
4212,13069,24166,94.6,38.9,23282,194,56,55,0,214,365,10582
4224,13073,6534,107.3,41.6,6057,99,10,142,0,63,163,2885
4228,13074,4050,91.8,43.6,4005,1,4,9,2,8,21,1760
4232,13076,2397,110.3,44.3,2277,0,0,20,0,0,100,924
4236,13077,7015,90.6,44.8,6876,3,0,80,7,0,49,3026
4240,13078,10889,99.1,44.3,8750,576,78,1038,0,18,429,4192
4244,13080,3210,88,45.4,3040,5,15,0,0,32,118,1704
4248,13081,1102,89.3,49.1,1090,5,0,0,0,0,7,692
4252,13082,4258,84.9,50.3,4167,4,21,43,0,0,23,1871
4256,13083,2029,109,44.2,2001,2,6,5,0,0,15,919
4260,13084,3659,98.3,47.1,3496,39,34,0,4,0,86,1599
4268,13088,21917,84.2,43.8,19774,754,88,456,0,84,761,10651
4272,13090,29869,98,38,25847,1517,63,784,10,130,1518,12807
4276,13092,2626,108.9,43.5,2588,0,3,0,0,26,9,1191
4280,13101,2311,107.5,38,2175,9,0,0,0,67,60,1018
4292,13104,16052,105.1,43.8,14307,140,38,1221,0,44,302,6634
4296,13108,6095,99.5,46.8,5883,64,0,65,0,7,76,2582
4300,13110,2081,99.7,52.4,2049,0,5,6,0,0,21,1186
4304,13111,1706,111.7,45.5,1688,0,0,0,0,0,18,742
4308,13112,1673,109.1,50.9,1666,7,0,0,0,0,0,730
4316,13114,6350,104.3,37.3,6128,46,3,51,0,21,101,2800
4324,13116,3468,94.1,40.8,2831,123,0,20,0,432,62,1583
4332,13118,6159,130.7,43.5,5436,530,0,28,0,55,110,2924
4336,13120,2109,81.7,38.4,1401,393,247,43,0,0,25,838
4340,13122,1239,81.4,39.2,1230,9,0,0,0,0,0,470
4344,13123,451,44.6,18,451,0,0,0,0,0,0,128
4352,13126,35833,98.1,36,33066,928,58,542,29,277,933,15651
4356,13131,3611,112.4,42.9,3487,16,1,46,0,0,61,1503
4360,13132,3541,106.1,45.6,3370,37,0,58,0,31,45,1570
4364,13134,216,109.7,41.6,193,0,0,0,0,0,23,65
4368,13135,6392,98.8,41.2,6123,1,16,70,0,0,182,2857
4376,13138,56,194.7,54.5,56,0,0,0,0,0,0,19
4380,13140,4571,101.9,43.4,4448,10,0,21,0,17,75,2045
4388,13142,6522,100.6,41.6,6409,18,0,3,0,0,92,3314
4392,13143,2681,108.3,40.2,2540,103,0,24,0,0,14,1224
4396,13144,1774,102.5,32.6,1733,15,3,0,0,15,8,907
4400,13145,1457,101,50,1430,5,0,0,1,0,21,1086
4404,13146,2462,96.6,38.7,2217,22,17,24,0,13,169,947
4408,13147,1104,111.9,40.1,1061,0,0,0,0,35,8,467
4412,13148,10535,98,40.8,9845,261,65,206,0,84,74,5113
4416,13152,8025,95,52.4,7870,11,25,27,22,0,70,4524
4428,13156,1870,111.8,46.6,1849,10,3,0,0,0,8,1287
4436,13158,1569,107.5,48.1,1561,0,0,3,0,0,5,736
4440,13159,5290,102.9,45.2,5135,34,48,28,0,0,45,2384
4444,13160,1812,94.8,47.9,1716,13,2,6,0,3,72,934
4456,13164,2797,90.8,35.9,2668,0,0,71,0,0,58,945
4460,13165,10376,88,46,9911,116,25,55,0,49,220,4789
4464,13166,5616,104.1,44.5,5456,27,3,48,0,28,54,2498
4468,13167,3067,103.5,41.9,2979,0,0,14,0,0,74,1379
4472,13202,6787,110.3,27.3,2494,3310,62,385,0,204,332,3009
4476,13203,16513,89.3,36.8,9448,3586,340,1315,8,378,1438,8678
4480,13204,18741,92.4,31.9,11287,5467,211,237,0,545,994,10224
4484,13205,17212,85.4,39.2,6889,8141,256,448,2,427,1049,8789
4488,13206,16723,96.8,37.5,12192,2875,252,527,10,135,732,8806
4492,13207,12597,84.9,36.7,6248,5390,144,155,0,126,534,6236
4496,13208,22833,95,32.9,11878,5694,16,3365,22,530,1328,10456
4500,13209,12713,85.5,42.7,11203,455,21,94,14,114,812,5928
4504,13210,27916,87.9,21.3,17029,5617,197,3092,0,638,1343,9739
4508,13211,5861,85.1,36.6,5267,242,0,80,0,12,260,2709
4512,13212,21269,89.8,42.7,19200,933,65,364,0,59,648,9409
4516,13214,8439,95.9,35.6,6421,998,48,474,0,326,172,3280
4520,13215,14952,87.8,43.8,13515,582,53,260,9,51,482,5917
4524,13219,15107,94.9,43.3,13951,545,35,231,0,79,266,6655
4528,13224,8369,91.9,41.6,4676,2870,32,222,0,288,281,4129
4532,13290,0,0,0,0,0,0,0,0,0,0,0
4540,13302,1826,114.8,38.1,1773,1,5,2,0,14,31,1004
4544,13303,1065,99.4,49.5,1042,3,6,0,0,1,13,542
4548,13304,1617,95.8,50.2,1555,5,0,19,0,0,38,836
4556,13308,3543,93.7,40.2,3467,0,12,9,0,0,55,1605
4560,13309,5748,93.4,42.7,5533,26,11,25,6,15,132,2691
4580,13315,1481,105.7,43.2,1450,0,0,16,0,0,15,765
4584,13316,6000,86.6,51.9,5878,38,12,14,0,0,58,3174
4588,13317,3926,91.5,38.4,3736,10,47,27,0,11,95,1664
4592,13318,1443,102.1,47.5,1441,0,2,0,0,0,0,601
4600,13320,2037,94.2,42.9,2025,5,0,0,0,0,7,1129
4612,13323,11282,89.9,39.7,10353,255,21,231,16,134,272,4476
4616,13324,2351,89.7,42.2,2317,14,4,4,0,0,12,1601
4620,13325,1059,96.1,44.7,1050,0,0,0,0,9,0,689
4624,13326,5419,94.6,51.2,4866,142,2,191,0,55,163,3419
4628,13327,2038,101,42.8,2017,0,1,20,0,0,0,1233
4632,13328,1526,101.9,43.5,1514,5,0,0,0,0,7,650
4636,13329,4227,104.1,41.3,4097,7,31,8,0,6,78,1870
4644,13332,2782,91.5,39.7,2682,7,20,1,0,39,33,1280
4652,13334,1065,114.3,37.7,1061,0,0,0,0,0,4,760
4656,13335,1370,116.8,45,1285,39,0,17,0,17,12,684
4664,13338,1110,112.2,55.3,1063,11,19,0,0,6,11,1540
4668,13339,6528,101.5,37,6090,52,0,18,0,143,225,2744
4672,13340,8097,93.2,43.6,7839,63,0,4,14,81,96,3553
4684,13343,1675,107,51.3,1675,0,0,0,0,0,0,1298
4692,13346,6241,77.7,22.8,5341,263,0,368,0,63,206,2369
4696,13348,1411,121.5,46.5,1356,27,0,5,0,0,23,859
4700,13350,9786,97.2,51.3,9188,196,31,91,12,56,212,5021
4704,13352,11,0,0,11,0,0,0,0,0,0,44
4712,13354,3811,129.3,43.9,3773,0,0,4,0,0,34,1553
4720,13357,10786,99.4,40.1,9959,319,6,152,71,74,205,4912
4724,13360,133,189.1,55.8,133,0,0,0,0,0,0,1019
4736,13363,2453,90.9,48.3,2413,40,0,0,0,0,0,1043
4744,13365,8339,96.8,41.6,8149,48,6,16,0,37,83,4135
4748,13367,8767,98.4,40.4,8391,95,58,43,24,96,60,4272
4752,13368,1062,89.3,40.9,1025,11,0,0,0,0,26,603
4756,13402,1659,189.5,47.2,1642,3,0,6,0,1,7,895
4760,13403,7302,192.3,39.1,6243,816,28,24,0,100,91,1866
4772,13407,5023,89.8,45.5,4706,106,0,69,0,2,140,2325
4776,13408,3845,87.5,22.8,3300,322,0,96,0,53,74,1265
4780,13409,2437,106,41.5,2232,61,6,0,0,17,121,1024
4788,13411,3152,102.1,46.4,3080,0,6,18,0,0,48,1659
4792,13413,15777,85.4,47.4,14548,298,51,598,11,17,254,7127
4800,13416,2189,93.5,44.5,2139,8,0,0,0,0,42,1050
4804,13417,3362,79.2,45.3,3164,0,0,82,0,0,116,1882
4812,13420,864,91.6,59.8,827,37,0,0,0,0,0,2830
4816,13421,13149,90.6,42.8,12560,195,38,57,79,0,220,6042
4820,13424,2338,124.4,42.6,2096,185,0,39,0,0,18,979
4824,13425,2318,113.1,42.1,2225,53,0,19,0,3,18,1009
4828,13428,1615,97.7,37.6,1528,16,0,40,0,15,16,767
4832,13431,1811,99.4,41.3,1703,10,50,0,0,2,46,763
4836,13433,1791,101.7,38,1784,6,0,1,0,0,0,805
4852,13438,3392,100.6,50.6,3337,27,9,2,0,1,16,2190
4856,13439,3518,102.3,44.8,3469,19,4,18,0,0,8,2383
4860,13440,41014,104.2,40.5,36900,2245,27,494,0,323,1025,18579
4864,13441,184,206.7,26,118,53,0,0,0,13,0,103
4872,13452,4618,99.6,40.6,4497,53,4,27,0,22,15,2125
4880,13456,4005,87.4,44.2,3857,10,17,66,0,4,51,1731
4884,13459,2557,94,43.2,2442,2,3,84,0,1,25,1254
4888,13460,4414,101.5,39.8,4204,22,5,26,2,0,155,2151
4892,13461,3000,97.4,48.5,2884,43,3,12,0,1,57,1237
4896,13464,1373,101.9,48.1,1346,17,0,0,0,4,6,667
4904,13469,1131,87.3,53.2,1119,12,0,0,0,0,0,468
4912,13471,3291,101.2,37.7,3185,19,0,8,0,4,75,1495
4924,13475,16,60,16.7,16,0,0,0,0,0,0,16
4928,13476,4150,104,38.8,3890,177,9,25,0,10,39,1623
4936,13478,3009,113.4,46.5,2954,10,0,23,0,0,22,1333
4940,13480,3372,95.1,47.5,3318,23,0,10,0,0,21,1652
4948,13484,322,87.2,15.9,322,0,0,0,0,0,0,106
4952,13485,1029,108.7,49.2,1020,5,0,0,0,0,4,618
4968,13490,1753,120.8,38.4,1630,0,0,47,0,0,76,654
4972,13491,3606,101.9,42.6,3550,6,4,20,1,7,18,1635
4976,13492,11154,86.2,44.9,10535,21,22,313,7,232,24,5224
4980,13493,1804,107.4,44.5,1749,2,8,3,0,0,42,944
4988,13495,2059,111.4,35.3,1972,13,0,16,0,0,58,917
4992,13501,36920,96.1,33.8,21921,4771,175,6100,30,1689,2234,17133
4996,13502,33314,102.8,36.3,25065,4497,116,1087,0,712,1837,15094
5000,13601,37548,108,33.1,31721,2797,273,774,31,318,1634,17934
5004,13602,3968,849.3,21.6,2324,772,74,180,60,265,293,104
5008,13603,9501,113.5,23.2,6625,1349,51,255,144,331,746,3589
5012,13605,5014,96.6,36.5,4895,7,13,9,0,8,82,2328
5016,13606,2512,105.7,47,2484,2,0,0,0,0,26,1060
5020,13607,1322,103.7,55.2,1263,44,0,8,0,0,7,1746
5024,13608,1607,99.4,39.2,1546,2,5,0,0,0,54,683
5028,13612,2386,110.2,44.5,2242,10,0,80,0,16,38,1184
5032,13613,2708,101.3,37.8,2613,11,23,3,0,11,47,1293
5044,13616,1722,88.6,33.1,1059,221,0,335,0,14,93,775
5048,13617,11137,95.5,29.8,10074,442,39,246,0,134,202,3874
5052,13618,1590,86.4,54.1,1551,7,5,13,0,6,8,2444
5056,13619,10400,97.5,33.3,9585,294,7,76,14,111,313,4778
5060,13620,2267,88.8,34.9,2171,7,0,5,0,44,40,807
5068,13622,2410,86.7,44.6,2271,28,13,10,0,0,88,1426
5076,13624,5305,137.5,44.2,4516,406,35,17,0,103,228,3737
5080,13625,1778,95.4,50.1,1766,1,0,0,2,2,7,1151
5084,13626,2172,104.1,39.6,2074,11,4,20,0,2,61,1251
5092,13630,1448,106,37.5,1419,7,5,0,0,0,17,623
5100,13634,4064,102.2,42.4,3991,41,0,0,0,0,32,2252
5104,13635,1210,97.1,40.2,1183,0,0,0,0,2,25,586
5112,13637,4318,117.3,27.3,3053,621,34,145,0,139,326,1949
5116,13638,254,78.9,33.2,254,0,0,0,0,0,0,146
5132,13642,9909,129.9,44.2,8842,543,49,21,0,197,257,4418
5136,13643,43,53.6,2.4,43,0,0,0,0,0,0,13
5140,13646,2014,102,50.8,1949,11,4,10,0,0,40,2832
5148,13648,2121,103.6,45.2,2085,1,11,4,0,0,20,1696
5152,13650,1567,107,47.1,1420,5,0,3,0,8,131,1541
5160,13652,1548,100.3,44.7,1536,0,0,0,9,1,2,891
5164,13654,2578,111.8,33,2540,15,9,2,0,0,12,1108
5168,13655,3444,75,44.4,392,5,2797,117,84,0,49,1445
5172,13656,3133,105.8,30.1,2946,158,9,0,0,0,20,1074
5176,13658,2320,89.9,43.7,2278,6,2,0,0,22,12,1026
5184,13660,1697,103,36.6,1648,5,6,9,0,0,29,717
5188,13661,1521,90.8,37.9,1496,3,16,0,0,0,6,1083
5192,13662,16267,88.9,42.2,15288,13,314,168,0,32,452,7697
5208,13667,2898,79.7,33.5,2820,47,19,0,0,8,4,1418
5212,13668,3138,96.7,44.8,3002,16,44,17,4,0,55,1588
5216,13669,15908,113.8,43,14151,820,122,122,38,331,324,7274
5228,13673,2142,103,33.5,1993,67,14,16,0,0,52,999
5240,13676,16637,108.8,25.2,14782,674,77,424,6,333,341,6135
5244,13677,39,178.6,52.3,39,0,0,0,0,0,0,61
5252,13679,1851,92.2,39.9,1845,0,0,0,0,0,6,1531
5256,13680,1702,93,29.5,1630,12,0,0,0,0,60,578
5260,13681,1053,92.9,28.9,1032,1,0,3,1,0,16,418
5268,13684,1006,137.8,41.5,992,0,6,2,0,0,6,746
5272,13685,2460,81.3,36.4,2339,35,0,15,0,6,65,1693
5284,13691,3074,104.3,38,2924,20,15,18,0,8,89,2072
5292,13693,439,105.1,54.7,439,0,0,0,0,0,0,1192
5296,13694,1244,92.3,52,1222,0,0,0,0,0,22,692
5304,13696,94,154.1,33.6,94,0,0,0,0,0,0,37
5308,13697,2047,111.2,41.7,2005,0,10,18,0,0,14,961
5312,13730,2687,112.9,50.5,2612,36,7,21,0,0,11,1595
5316,13731,923,96,59.5,873,0,5,7,0,0,38,1298
5320,13732,7799,102.1,45.8,7453,57,0,73,0,51,165,3284
5324,13733,4811,107.6,42.5,4668,9,7,2,0,32,93,2617
5328,13734,1817,90.3,42.6,1812,2,0,1,0,1,1,827
5332,13736,2283,94.6,40.2,2258,0,0,5,0,0,20,978
5344,13743,3551,103.4,45.8,3540,3,0,0,0,0,8,1807
5348,13744,1142,102.1,45.5,1126,1,0,0,1,0,14,555
5352,13746,1954,104.2,56.5,1834,13,44,7,0,0,56,1034
5356,13748,3876,118.1,43,3653,17,0,0,0,206,0,1818
5364,13751,180,53.8,29.9,180,0,0,0,0,0,0,73
5372,13753,5651,102.3,30.8,4923,343,2,117,2,73,191,2270
5376,13754,3147,91.4,48.6,2998,28,7,31,11,3,69,2293
5380,13755,1127,105.7,51.9,1105,0,10,0,0,0,12,941
5388,13757,1338,95.3,46.3,1338,0,0,0,0,0,0,741
5392,13760,42372,92.3,43.9,38304,2052,55,885,0,264,812,21046
5396,13774,154,136.9,28,154,0,0,0,0,0,0,189
5400,13775,1829,112.2,50,1822,4,0,0,0,0,3,1003
5412,13778,5486,93.8,46.5,5354,17,0,19,0,16,80,2831
5424,13783,2634,107.2,51.3,2469,65,0,0,0,28,72,2168
5436,13787,3342,90.2,54.2,3219,2,39,18,0,14,50,1879
5444,13790,17964,95.3,36.8,14225,1332,95,1396,14,168,734,8793
5448,13794,67,148.1,30.1,67,0,0,0,0,0,0,36
5452,13795,2878,88.2,49.5,2662,216,0,0,0,0,0,1414
5456,13796,1362,104.2,46.5,1341,19,0,0,0,2,0,705
5460,13797,2220,90.1,40.9,2199,4,0,0,0,0,17,915
5464,13801,1428,127.4,49.3,1337,12,37,10,0,3,29,1107
5472,13803,4243,99.6,36.5,4119,35,13,16,0,4,56,1678
5484,13807,1163,84.6,51.6,1104,24,0,15,0,1,19,692
5488,13808,1544,89,39.4,1484,0,0,8,0,8,44,783
5492,13809,1531,132,45.5,1531,0,0,0,0,0,0,883
5496,13810,1210,89.4,47.1,1192,0,0,9,6,3,0,665
5500,13811,4243,118.6,39.7,4062,35,83,14,0,10,39,1848
5504,13812,2386,99.2,43.6,2327,0,0,16,0,2,41,1029
5512,13815,12930,88.7,41.3,12208,246,39,131,8,37,261,6479
5516,13820,22070,83.1,29.5,19735,936,58,474,0,243,624,9363
5520,13825,2914,94.5,48.9,2835,10,0,17,0,0,52,1455
5524,13826,15,0,0,15,0,0,0,0,0,0,64
5528,13827,11452,95.1,48.7,10983,89,12,160,0,0,208,5659
5532,13830,5077,111.4,45.8,4887,73,9,6,0,46,56,2863
5540,13833,3728,101.8,41.5,3616,0,0,25,0,0,87,1758
5548,13835,1132,94.5,44.9,1103,0,19,0,0,0,10,588
5552,13838,4099,117.2,43.3,3738,26,0,13,0,141,181,2248
5556,13839,1171,112.1,52,1109,9,0,5,0,0,48,810
5568,13843,2015,95.3,49.9,1944,0,0,0,0,29,42,1120
5576,13845,123,105,0,123,0,0,0,0,0,0,63
5584,13847,98,100,27.5,98,0,0,0,0,0,0,32
5588,13849,4502,99.3,44.8,4362,14,14,0,0,79,33,2439
5592,13850,22351,98.5,43.9,18709,912,0,2315,13,81,321,9969
5596,13856,6089,101.2,45.8,6023,51,1,0,0,2,12,3998
5604,13860,27,285.7,24.1,27,0,0,0,0,0,0,7
5612,13862,4290,107,42,4142,32,0,7,7,26,76,1932
5624,13865,6297,101,43,6215,28,0,19,0,0,35,3063
5628,13901,19230,94.3,39.6,16369,1140,69,359,0,298,995,9640
5632,13902,6130,106.2,19.5,4496,320,0,1027,0,61,226,8
5636,13903,18258,96.5,40,14880,1586,25,277,13,389,1088,8465
5640,13904,10347,96.3,38.9,8720,903,0,286,0,254,184,4254
5644,13905,25890,96.9,37,20022,2349,65,1771,16,298,1369,13253
5648,14001,9522,105.7,45.5,9195,57,12,40,0,66,152,4443
5652,14004,12332,118.7,42.6,10987,1114,70,65,19,30,47,4348
5656,14005,1838,103.8,42.8,1802,4,0,0,0,17,15,674
5660,14006,9605,102.6,48.6,9208,129,77,0,0,43,148,5121
5664,14008,1415,98.7,46.9,1409,4,0,2,0,0,0,621
5668,14009,5491,95.3,42.3,5292,85,0,53,0,25,36,2673
5672,14011,9198,164.8,38.7,7511,1265,53,10,0,231,128,2947
5676,14012,2334,103.3,43.4,2266,0,12,34,0,3,19,1068
5680,14013,1703,122,43.3,1267,18,371,14,0,0,33,769
5684,14020,22707,98.4,43.1,20382,747,22,309,0,482,765,10547
5688,14024,1552,114.1,42,1512,0,0,27,0,0,13,823
5692,14025,3475,106.5,48.9,3446,7,0,0,0,15,7,1539
5700,14028,1776,103,44.2,1720,5,30,0,0,0,21,890
5704,14030,1800,112.8,47.7,1785,3,7,0,0,3,2,811
5708,14031,10468,107.5,46.7,9998,165,0,91,0,0,214,4466
5712,14032,9083,100.8,42.3,8888,11,0,83,0,0,101,3285
5716,14033,1677,73.6,49.9,1642,27,0,8,0,0,0,917
5720,14034,2716,202.1,44.8,2046,447,21,4,0,151,47,844
5724,14035,105,110,34.4,105,0,0,0,0,0,0,30
5728,14036,4836,99.6,50.5,4554,50,48,4,0,7,173,2318
5732,14037,1107,108.9,43.8,1101,0,0,0,0,6,0,478
5740,14040,1921,83.3,37.9,1918,0,3,0,0,0,0,742
5744,14041,195,146.8,34.4,195,0,0,0,0,0,0,146
5748,14042,4181,106,40.6,4047,0,0,51,0,62,21,2015
5752,14043,24538,96.9,44.2,22948,835,67,164,0,145,379,11530
5756,14047,6549,102.9,44.9,6447,41,0,0,0,26,35,2805
5760,14048,14283,94.1,43,12479,621,104,82,7,583,407,7277
5764,14051,20219,96.4,46.8,17258,548,0,1956,0,57,400,8382
5768,14052,16672,95,48.6,16196,121,21,102,0,8,224,7306
5772,14054,1593,101.6,37.7,1344,35,11,0,0,183,20,683
5776,14055,1331,116.1,47.6,1306,0,0,0,0,0,25,653
5780,14057,8022,98.8,46,7791,1,0,83,0,89,58,3346
5784,14058,1994,104.5,40.5,1693,24,0,0,0,180,97,882
5788,14059,9860,88.9,48.8,9739,2,38,44,0,0,37,4259
5800,14062,3046,103.2,49.7,2911,60,16,18,10,7,24,1480
5804,14063,14302,96.5,34,12686,501,92,173,19,414,417,5837
5808,14065,1637,83.9,44,1585,0,2,13,0,0,37,776
5812,14066,1260,97.5,47.4,1224,22,13,0,0,1,0,627
5816,14067,5076,79,43.4,4781,96,10,9,0,94,86,2028
5820,14068,6731,77.4,53,6085,126,0,356,0,94,70,2873
5828,14070,6894,155.8,41.5,5107,693,531,18,2,337,206,2540
5832,14072,21047,99.8,43.7,19736,455,19,355,0,263,219,9106
5836,14075,42780,86.1,46.5,41376,519,125,277,14,122,347,19424
5840,14080,4313,115.5,46,4207,37,0,8,0,0,61,1993
5844,14081,3123,94.7,50.3,1850,46,907,44,5,15,256,1652
5852,14085,7178,100.1,41,7071,24,0,54,0,12,17,2726
5856,14086,32585,98.8,43.9,31676,389,28,263,0,87,142,13713
5860,14091,1149,106.7,37.8,739,19,386,0,0,5,0,463
5864,14092,10922,89.3,51.3,9930,132,350,298,0,72,140,5060
5868,14094,49257,99.6,42,44006,2663,116,500,0,524,1448,23079
5872,14098,3102,101.8,38.9,2951,28,30,0,0,18,75,1761
5876,14101,1910,103.6,45.1,1894,0,6,0,0,0,10,1120
5880,14102,1255,117.1,44.9,1213,0,42,0,0,0,0,455
5884,14103,10519,93.9,42.6,9385,423,30,106,0,292,283,4975
5888,14105,4591,96.2,43.3,4434,49,15,2,0,50,41,1934
5892,14108,5689,89.8,46.5,5489,53,51,0,0,9,87,2368
5896,14109,1082,76.8,19.6,839,58,14,29,0,80,62,0
5900,14111,3425,107.7,40.4,3247,35,51,30,0,7,55,1436
5912,14120,44119,98.5,45.9,42306,469,110,336,10,156,732,20260
5916,14125,3728,108,41.6,3569,47,17,12,0,20,63,1568
5924,14127,30191,98.2,45.8,29203,205,18,488,0,174,103,12646
5928,14129,1530,89.4,45.1,1205,6,296,10,0,3,10,607
5936,14131,4969,111.8,50.2,4752,58,0,37,0,17,105,2251
5940,14132,5632,96.6,45.5,4916,28,473,63,0,36,116,2423
5952,14136,4667,83.5,43.3,4485,44,41,0,0,15,82,2419
5956,14138,1879,119.5,39.1,1823,14,11,0,0,15,16,893
5960,14139,2193,121.3,42.6,2062,1,0,114,0,2,14,951
5964,14141,7480,92.6,45,7325,31,82,23,0,0,19,3644
5968,14143,1013,120.7,43.8,859,22,5,15,0,0,112,574
5972,14145,1847,95.7,42.7,1693,10,58,0,0,86,0,774
5976,14150,40850,90.6,45.5,37243,1181,136,671,0,400,1219,20172
5980,14167,1761,144.6,43.5,1702,10,0,0,0,10,39,830
5984,14168,30,100,14.3,30,0,0,0,0,0,0,6
5992,14170,2944,81.5,47.1,2944,0,0,0,0,0,0,1325
5996,14171,1918,101.9,46.7,1745,15,21,0,0,0,137,990
6000,14172,3002,80.6,45.4,2922,26,5,6,0,3,40,1618
6004,14173,281,83.7,41.8,281,0,0,0,0,0,0,127
6008,14174,5597,113.5,45.6,5399,41,23,19,0,47,68,2674
6012,14201,11935,88.7,32.8,5925,2887,49,247,0,2209,618,6612
6016,14202,3385,144.1,36.1,2257,728,30,48,0,255,67,2393
6020,14203,1733,75.2,32.9,687,747,4,111,0,142,42,1229
6024,14204,8643,81,40.4,1913,6087,0,109,2,343,189,5303
6028,14206,20310,97.8,40.5,15499,2630,216,453,0,816,696,10461
6032,14207,23275,83.6,30.7,11821,3779,88,2736,0,2741,2110,10699
6036,14208,10574,82.8,30.8,1406,8432,16,495,5,137,83,5654
6040,14209,7736,101.1,33.5,4029,3046,30,263,0,212,156,4397
